,id,antecedent,consequent,confidence,lift,length,freq,items,support,Category,Purity
0,17179869191,"['399f54c06661d06ca45c6e24ed238e0e', '17d8b8e9c21ec0fc5b33724e32fe422e']",['99444c1e11fc38755dae86f5c67d3d1a'],1.0,6626.470588235295,3,9,"['399f54c06661d06ca45c6e24ed238e0e', '17d8b8e9c21ec0fc5b33724e32fe422e', '99444c1e11fc38755dae86f5c67d3d1a']",7.989347536617843e-05,bed_bath_table,1.0
1,25769803846,['8509049c56caff468e3f35c4eefb6035'],['ac11c132793524428ef353a3e4956ed9'],0.8,11265.000000000002,2,8,"['ac11c132793524428ef353a3e4956ed9', '8509049c56caff468e3f35c4eefb6035']",7.101642254771416e-05,housewares,1.0
2,25769803859,['0cf2faf9749f53924cea652a09d8e327'],['5dae498eff2d80057f56122235a36aff'],0.5,7040.625,2,6,"['5dae498eff2d80057f56122235a36aff', '0cf2faf9749f53924cea652a09d8e327']",5.326231691078562e-05,construction_tools_construction,1.0
3,17179869241,"['17d8b8e9c21ec0fc5b33724e32fe422e', '6a0713a63e990052795623e76cc2995e']",['399f54c06661d06ca45c6e24ed238e0e'],1.0,12516.666666666666,3,8,"['399f54c06661d06ca45c6e24ed238e0e', '17d8b8e9c21ec0fc5b33724e32fe422e', '6a0713a63e990052795623e76cc2995e']",7.101642254771416e-05,bed_bath_table,1.0
4,25769803830,['7a0f37fda63d1cd7dac2451494eb6e69'],['665aa1d687284a4d2d2b74c0c6724625'],0.6,2938.695652173913,2,6,"['7a0f37fda63d1cd7dac2451494eb6e69', '665aa1d687284a4d2d2b74c0c6724625']",5.326231691078562e-05,bed_bath_table,1.0
5,25769803831,['7a0f37fda63d1cd7dac2451494eb6e69'],['2481a472d98c582b46bc2dfeae6f539f'],0.5,1942.2413793103447,2,5,"['7a0f37fda63d1cd7dac2451494eb6e69', '2481a472d98c582b46bc2dfeae6f539f']",4.438526409232135e-05,bed_bath_table,0.5
6,8589934592,"['d25bbb182b51d1594fe3b54a27ae143e', '399f54c06661d06ca45c6e24ed238e0e', '6a0713a63e990052795623e76cc2995e']",['99444c1e11fc38755dae86f5c67d3d1a'],1.0,6626.470588235295,4,5,"['d25bbb182b51d1594fe3b54a27ae143e', '399f54c06661d06ca45c6e24ed238e0e', '99444c1e11fc38755dae86f5c67d3d1a', '6a0713a63e990052795623e76cc2995e']",4.438526409232135e-05,bed_bath_table,1.0
7,25769803852,['3d870b8af7dbdc91b10cfb0139f3d44d'],['155815f7173905f1e5cde0b82adfc113'],1.0,10240.909090909092,2,6,"['3d870b8af7dbdc91b10cfb0139f3d44d', '155815f7173905f1e5cde0b82adfc113']",5.326231691078562e-05,bed_bath_table,1.0
8,0,"['5dae498eff2d80057f56122235a36aff', '0de59eddc63167215c972b0d785ffa7b', '1065e0ebef073787a7bf691924c60eeb', '4a5c3967bfd3629fe07ef4d0cc8c3818']",['0cf2faf9749f53924cea652a09d8e327'],1.0,9387.5,5,5,"['5dae498eff2d80057f56122235a36aff', '0de59eddc63167215c972b0d785ffa7b', '0cf2faf9749f53924cea652a09d8e327', '1065e0ebef073787a7bf691924c60eeb', '4a5c3967bfd3629fe07ef4d0cc8c3818']",4.438526409232135e-05,construction_tools_construction,1.0
9,17179869201,"['5dae498eff2d80057f56122235a36aff', '0cf2faf9749f53924cea652a09d8e327']",['1065e0ebef073787a7bf691924c60eeb'],1.0,9387.5,3,6,"['5dae498eff2d80057f56122235a36aff', '0cf2faf9749f53924cea652a09d8e327', '1065e0ebef073787a7bf691924c60eeb']",5.326231691078562e-05,construction_tools_construction,1.0
10,25769803790,['67f9d01bcd84e2229ba6f8a75b635b40'],['1f1354b0aa934e7ad75546467a6d028b'],1.0,18775.0,2,5,"['67f9d01bcd84e2229ba6f8a75b635b40', '1f1354b0aa934e7ad75546467a6d028b']",4.438526409232135e-05,furniture_decor,1.0
11,25769803825,['18486698933fbb64af6c0a255f7dd64c'],['dbb67791e405873b259e4656bf971246'],0.5142857142857142,609.8345864661653,2,18,"['18486698933fbb64af6c0a255f7dd64c', 'dbb67791e405873b259e4656bf971246']",0.00015978695073235686,computers_accessories,1.0
12,25769803890,['e11092e9722d1b6f8c18cd8947a1daff'],['b6ada73818651fe7e64be10653062ea2'],0.7857142857142857,6808.516483516483,2,11,"['b6ada73818651fe7e64be10653062ea2', 'e11092e9722d1b6f8c18cd8947a1daff']",9.764758100310696e-05,baby,1.0
13,25769803897,['d80fce9f775927c7d602c2de926759f1'],['a3a10562c9d134b92f04b8cce298d037'],1.0,18775.0,2,5,"['d80fce9f775927c7d602c2de926759f1', 'a3a10562c9d134b92f04b8cce298d037']",4.438526409232135e-05,bed_bath_table,1.0
14,8589934627,"['d25bbb182b51d1594fe3b54a27ae143e', '399f54c06661d06ca45c6e24ed238e0e', '17d8b8e9c21ec0fc5b33724e32fe422e']",['6a0713a63e990052795623e76cc2995e'],1.0,4897.826086956522,4,5,"['d25bbb182b51d1594fe3b54a27ae143e', '399f54c06661d06ca45c6e24ed238e0e', '17d8b8e9c21ec0fc5b33724e32fe422e', '6a0713a63e990052795623e76cc2995e']",4.438526409232135e-05,bed_bath_table,1.0
15,17179869228,"['93d8b11d613a563f5a26212282bb145e', 'be0e6c61c2bcdd9a4d022ba67fd66189']",['38e19855caf485b504d6f33ed31a9eb4'],1.0,18775.0,3,5,"['93d8b11d613a563f5a26212282bb145e', '38e19855caf485b504d6f33ed31a9eb4', 'be0e6c61c2bcdd9a4d022ba67fd66189']",4.438526409232135e-05,furniture_decor,0.6666667
16,25769803780,['cec51758e9839eb5414b214934430da6'],['7d00a7c029fe3cf2bddc1e8e0484c2c1'],0.8333333333333334,18775.0,2,5,"['7d00a7c029fe3cf2bddc1e8e0484c2c1', 'cec51758e9839eb5414b214934430da6']",4.438526409232135e-05,signaling_and_security,1.0
17,8589934596,"['d25bbb182b51d1594fe3b54a27ae143e', '399f54c06661d06ca45c6e24ed238e0e', '99444c1e11fc38755dae86f5c67d3d1a']",['6a0713a63e990052795623e76cc2995e'],1.0,4897.826086956522,4,5,"['d25bbb182b51d1594fe3b54a27ae143e', '399f54c06661d06ca45c6e24ed238e0e', '99444c1e11fc38755dae86f5c67d3d1a', '6a0713a63e990052795623e76cc2995e']",4.438526409232135e-05,bed_bath_table,1.0
18,8589934599,"['d25bbb182b51d1594fe3b54a27ae143e', '99444c1e11fc38755dae86f5c67d3d1a', '6a0713a63e990052795623e76cc2995e']",['17d8b8e9c21ec0fc5b33724e32fe422e'],1.0,8046.4285714285725,4,5,"['d25bbb182b51d1594fe3b54a27ae143e', '17d8b8e9c21ec0fc5b33724e32fe422e', '99444c1e11fc38755dae86f5c67d3d1a', '6a0713a63e990052795623e76cc2995e']",4.438526409232135e-05,bed_bath_table,1.0
19,25769803793,['0de59eddc63167215c972b0d785ffa7b'],['4a5c3967bfd3629fe07ef4d0cc8c3818'],0.625,5415.865384615385,2,5,"['0de59eddc63167215c972b0d785ffa7b', '4a5c3967bfd3629fe07ef4d0cc8c3818']",4.438526409232135e-05,construction_tools_construction,1.0
20,25769803871,['1eba879220bd0981a0e2fbab499ed4e1'],['8ed094bfe076c568f6bb10feada3f75d'],0.5454545454545454,830.3439803439803,2,6,"['1eba879220bd0981a0e2fbab499ed4e1', '8ed094bfe076c568f6bb10feada3f75d']",5.326231691078562e-05,office_furniture,1.0
21,25769803789,['a3a10562c9d134b92f04b8cce298d037'],['d80fce9f775927c7d602c2de926759f1'],0.8333333333333334,18775.0,2,5,"['d80fce9f775927c7d602c2de926759f1', 'a3a10562c9d134b92f04b8cce298d037']",4.438526409232135e-05,bed_bath_table,1.0
22,25769803895,['66e9fb73e349cba44b29951e558a6780'],['574597aaf385996112490308e37399ce'],0.6666666666666666,2589.655172413793,2,6,"['66e9fb73e349cba44b29951e558a6780', '574597aaf385996112490308e37399ce']",5.326231691078562e-05,housewares,1.0
23,7,"['0de59eddc63167215c972b0d785ffa7b', '0cf2faf9749f53924cea652a09d8e327', '1065e0ebef073787a7bf691924c60eeb', '4a5c3967bfd3629fe07ef4d0cc8c3818']",['5dae498eff2d80057f56122235a36aff'],1.0,14081.25,5,5,"['5dae498eff2d80057f56122235a36aff', '0de59eddc63167215c972b0d785ffa7b', '0cf2faf9749f53924cea652a09d8e327', '1065e0ebef073787a7bf691924c60eeb', '4a5c3967bfd3629fe07ef4d0cc8c3818']",4.438526409232135e-05,construction_tools_construction,1.0
24,25769803787,['1c27515baa5bece76d41e2353efcdd8e'],['b5661cf46c147805adc83695fb04f487'],0.625,11734.375,2,5,"['b5661cf46c147805adc83695fb04f487', '1c27515baa5bece76d41e2353efcdd8e']",4.438526409232135e-05,housewares,1.0
25,25769803812,['873eb5f3b8cc503730e472a14cd26616'],['0e14941c183946f60e3b86585d05f984'],1.0,14081.25,2,5,"['873eb5f3b8cc503730e472a14cd26616', '0e14941c183946f60e3b86585d05f984']",4.438526409232135e-05,bed_bath_table,0.5
26,25769803828,['1065e0ebef073787a7bf691924c60eeb'],['5dae498eff2d80057f56122235a36aff'],0.5,7040.625,2,6,"['5dae498eff2d80057f56122235a36aff', '1065e0ebef073787a7bf691924c60eeb']",5.326231691078562e-05,construction_tools_construction,1.0
27,25769803926,['507914b4af243e0589c389ac50545ef6'],['bf1a9a02e2160143755052e6bf59740f'],0.8571428571428571,13793.877551020409,2,6,"['507914b4af243e0589c389ac50545ef6', 'bf1a9a02e2160143755052e6bf59740f']",5.326231691078562e-05,construction_tools_construction,1.0
